Puzzle #,StartWord,Word 1,Word 2,Word 3,Word 4,EndWord,Letter 1,Letter 2,Letter 3,Letter 4,Letter 5,EasyH1a,EasyH1b,EasyH2a,EasyH2b,EasyH3a,EasyH3b,EasyH4a,EasyH4b
17,KERN,KEEN,KEEL,FEEL,FELL,DELL,E,L,F,L,D,1K,4N,1K,3E,2E,3E,2E,4L
18,EARL,EARS,BARS,BANS,BINS,BIOS,S,B,N,I,O,1E,3R,3R,2A,4S,2A,3N,1B
19,REPS,RAPS,RAPE,RAVE,HAVE,HIVE,A,E,V,H,I,1R,3P,2A,1R,4E,2A,2A,3V
20,WIFI,WIFE,WIRE,WORE,MORE,MORN,E,R,O,M,N,1W,2I,2I,1W,4E,1W,2O,4E
21,DUET,DUCT,DUCK,DUNK,DANK,DANG,C,K,N,A,G,2U,1D,1D,2U,4K,2U,4K,1D
22,HULK,BULK,BUCK,BACK,LACK,LACY,B,C,A,L,Y,2U,3L,2U,4K,3C,4K,2A,4K
23,DEAN,BEAN,BEEN,BEES,BEDS,BUDS,B,E,S,D,U,4N,2E,2E,4N,1B,2E,4S,2E
24,CAME,CATE,CITE,KITE,KITS,KISS,T,I,K,S,S,2A,1C,3T,1C,2I,4E,1K,2I
25,WEAR,TEAR,TEAS,TENS,TONS,TONE,T,S,N,O,E,4R,2E,3A,2E,2E,4S,4S,1T
26,TANG,RANG,RANK,RINK,RISK,RISE,R,K,I,S,E,2A,4G,3N,2A,1R,4K,2I,4K
27,PLEA,FLEA,FLEE,FREE,TREE,TREK,F,E,R,T,K,4A,2L,2L,1F,3E,1F,2R,4E
28,SOAK,SOCK,SICK,SILK,SILL,DILL,C,I,L,L,D,1S,4K,3C,1S,4K,2I,3L,2I
29,GALE,GAME,LAME,LAMP,LIMP,LISP,M,L,P,I,S,1G,4E,4E,3M,2A,3M,3M,1L
30,VERA,VERB,HERB,HERD,HEAD,LEAD,B,H,D,A,L,1V,3R,4B,2E,1H,2E,4D,1H
31,FIGS,DIGS,DISS,MISS,MASS,MAST,D,S,M,A,T,2I,3G,4S,2I,3S,4S,1M,3S
32,GIST,LIST,LOST,COST,COAT,CHAT,L,O,C,A,H,4T,2I,3S,4T,4T,3S,4T,1C
33,HOLE,HOLD,HELD,HEAD,HEAR,NEAR,D,E,A,R,N,2O,3L,3L,1H,1H,4D,2E,1H
34,KANE,LANE,LONE,LOSE,ROSE,ROSY,L,O,S,R,Y,3N,4E,3N,1L,1L,4E,3S,2O
35,GREW,GREY,GRAY,GRAD,GRID,ARID,Y,A,D,I,A,1G,2R,1G,2R,3A,2R,1G,4D
36,VARY,WARY,WARE,BARE,BANE,SANE,W,E,B,N,S,3R,2A,3R,2A,4E,3R,2A,4E
37,HOOP,HOOD,HOLD,HOLE,HALE,SALE,D,L,E,A,S,3O,1H,4D,1H,2O,1H,1H,3L
38,BODE,BONE,BOND,BEND,BEAD,MEAD,N,D,E,A,M,2O,4E,1B,3N,1B,3N,1B,2E
39,YANK,DANK,DARK,DORK,DORM,FORM,D,R,O,M,F,4K,3N,2A,1D,1D,3R,1D,2O
40,JEAN,BEAN,BEAM,SEAM,SEEM,STEM,B,M,S,E,T,4N,2E,2E,1B,3A,4M,2E,4M
41,LURE,CURE,CUTE,CUTS,GUTS,GUNS,C,T,S,G,N,2U,3R,2U,1C,3T,2U,3T,4S
42,FERN,KERN,KEEN,SEEN,SEED,SEND,K,E,S,D,N,3R,4N,1K,2E,3E,2E,1S,3E
43,DOLL,DULL,DUEL,DUES,DIES,DISS,U,E,S,I,S,4L,3L,4L,2U,3E,2U,3E,1D
44,PORK,CORK,CORE,CARE,CAVE,SAVE,C,E,A,V,S,3R,4K,3R,1C,3R,1C,1C,2A
45,GEMS,GETS,BETS,BETH,METH,MYTH,T,B,H,M,Y,4S,2E,4S,2E,3T,1B,3T,2E
46,DANK,BANK,BANE,BONE,CONE,CONN,B,E,O,C,N,3N,4K,1B,3N,3N,4E,3N,2O
47,LULU,LULL,BULL,BALL,BALD,BOLD,L,B,A,D,O,3L,2U,4L,3L,1B,4L,2A,3L
48,BOOS,BOSS,MOSS,MONS,MONO,MOJO,S,M,N,O,J,2O,4S,4S,2O,2O,4S,1M,3N
49,THEE,THEN,TEEN,SEEN,SEEK,MEEK,N,E,S,K,M,2H,1T,4N,3E,4N,3E,2E,1S
50,CAFE,CANE,CANS,CONS,DONS,DOES,N,S,O,D,E,2A,1C,1C,2A,4S,3N,3N,4S
51,BAYS,DAYS,DAMS,DAMP,LAMP,LIMP,D,M,P,L,I,3Y,2A,4S,1D,1D,3M,2A,4P
52,FOND,FEND,FEED,SEED,SHED,SHEA,E,E,S,H,A,4D,1F,2E,4D,3E,4D,4D,3E
53,FORM,FORE,LORE,LOSE,LOSS,LOTS,E,L,S,S,T,1F,3R,3R,2O,4E,2O,3S,1L
54,REAL,HEAL,HEAP,HEMP,HUMP,DUMP,H,P,M,U,D,4L,3A,1H,3A,2E,1H,3M,1H
55,SLED,SEED,PEED,PEEP,PREP,PREY,E,P,P,R,Y,4D,1S,4D,3E,3E,2E,1P,3E
56,VERA,VERB,HERB,HERE,HARE,HALE,B,H,E,A,L,2E,3R,3R,2E,2E,3R,4E,3R
57,MATS,BATS,BOTS,BOOS,BOOM,ROOM,B,O,O,M,R,3T,2A,4S,3T,2O,4S,1B,3O
58,PUSS,PUNS,RUNS,RUNG,LUNG,LUNA,N,R,G,L,A,4S,2U,3N,4S,3N,1R,2U,4G
59,HEEL,KEEL,KEEN,TEEN,THEN,THAN,K,N,T,H,A,2E,4L,3E,2E,4N,3E,4N,1T
60,TIED,TIES,TIPS,TAPS,GAPS,GALS,S,P,A,G,L,3E,2I,1T,2I,4S,3P,3P,2A
61,PAST,PEST,BEST,BEAT,BEAD,LEAD,E,B,A,D,L,1P,3S,3S,2E,2E,4T,1B,3A
62,TONS,DONS,DOES,DIES,DIET,DIRT,D,E,I,T,R,2O,3N,4S,1D,4S,3E,3E,2I
63,SHAY,SHAM,SLAM,SLIM,SKIM,SKIS,M,L,I,K,S,3A,2H,3A,4M,1S,4M,4M,3I
64,TIRE,DIRE,DINE,DING,DANG,PANG,D,N,G,A,P,2I,3R,2I,4E,1D,3N,1D,4G
65,STAG,SHAG,SHAM,SEAM,SEEM,SEEN,H,M,E,E,N,1S,4G,2H,3A,1S,4M,2E,1S
66,BUNK,BANK,BANE,BARE,BORE,MORE,A,E,R,O,M,4K,3N,2A,1B,2A,1B,4E,1B
67,RIGS,FIGS,FINS,FINK,MINK,MONK,F,N,K,M,O,4S,2I,4S,1F,1F,2I,2I,3N
68,FLIP,SLIP,SLID,SAID,MAID,MAUD,S,D,A,M,U,2L,3I,3I,2L,1S,4D,3I,2A
69,CLUB,CLUE,GLUE,GLEE,FLEE,FLEX,E,G,E,F,X,2L,1C,4E,2L,2L,1G,3E,2L
70,GANG,DANG,DING,DINE,WINE,WIDE,D,I,E,W,D,3N,4G,3N,4G,3N,2I,3N,2I
71,GIRL,GILL,GALL,GALS,GAGS,GIGS,L,A,S,G,I,1G,4L,3L,1G,3L,1G,1G,4S
72,FLAK,FLAW,FLEW,BLEW,BREW,DREW,W,E,B,R,D,3A,2L,1F,2L,4W,3E,1B,3E
73,DUFF,DIFF,RIFF,RIFE,RIPE,ROPE,I,R,E,P,O,4F,3F,2I,4F,2I,1R,2I,4E
74,DUES,DUET,DUST,MUST,MOST,MOAT,T,S,M,O,A,3E,2U,2U,1D,3S,4T,3S,1M
75,LUCK,DUCK,DOCK,DOCS,DOGS,HOGS,D,O,S,G,H,4K,3C,4K,3C,1D,2O,4S,1D
76,MIND,BIND,BAND,LAND,LAID,LAIR,B,A,L,I,R,2I,3N,1B,3N,4D,2A,4D,2A
77,BAKE,CAKE,CAME,CAMS,RAMS,RIMS,C,M,S,R,I,3K,2A,2A,4E,2A,3M,2A,3M
78,EARL,CARL,CARE,CORE,COLE,ROLE,C,E,O,L,R,3R,2A,3R,1C,3R,4E,2O,1C
79,DISH,DASH,MASH,MASS,MANS,MANA,A,M,S,N,A,3S,4H,2A,4H,2A,3S,4S,1M
80,LAWS,LARS,MARS,MART,MATT,MOTT,R,M,T,T,O,1L,2A,3R,4S,1M,3R,2A,1M
81,WEEK,SEEK,SEED,SEND,BEND,BOND,S,D,N,B,O,4K,3E,1S,2E,4D,1S,4D,2E
82,YANG,PANG,PANT,WANT,WAIT,BAIT,P,T,W,I,B,2A,3N,1P,3N,2A,3N,4T,2A
83,MOSS,LOSS,LESS,LEES,SEES,SEEN,L,E,E,S,N,4S,2O,4S,1L,2E,4S,4S,2E
84,MINK,SINK,SINS,SIMS,SUMS,SUMO,S,S,M,U,O,2I,3N,1S,3N,2I,4S,3M,4S
85,ANTS,ARTS,ARMS,AIMS,AIDS,AIDE,R,M,I,D,E,3T,1A,4S,2R,3M,4S,4S,2I
86,BOUT,BOLT,BELT,BELL,YELL,YELP,L,E,L,Y,P,1B,4T,3L,1B,1B,2E,4L,2E
87,TINS,BINS,BANS,BAND,BARD,YARD,B,A,D,R,Y,3N,4S,4S,1B,1B,3N,2A,4D
88,TILE,TILT,TINT,TENT,LENT,LENS,T,N,E,L,S,2I,1T,2I,1T,4T,1T,4T,3N
89,DIPS,DIGS,WIGS,WINS,WIND,WAND,G,W,N,D,A,2I,1D,3G,2I,2I,4S,3N,2I
90,BODY,BODE,RODE,RUDE,RUNE,RUNS,E,R,U,N,S,2O,3D,2O,4E,4E,3D,2U,1R
91,APEX,APES,APPS,ALPS,ALAS,ALAN,S,P,L,A,N,2P,3E,2P,4S,1A,3P,1A,4S
92,JADE,MADE,MODE,MODS,MOMS,MUMS,M,O,S,M,U,2A,3D,4E,1M,1M,3D,4S,2O
93,MARE,CARE,CAME,LAME,LAMB,LIMB,C,M,L,B,I,4E,2A,4E,2A,3M,2A,1L,2A
94,COBB,COMB,COME,CORE,MORE,MORA,M,E,R,M,A,4B,1C,3M,2O,4E,2O,2O,4E
95,PAGE,PANE,BANE,BAND,BEND,BENT,N,B,D,E,T,4E,2A,3N,2A,1B,3N,3N,4D
96,RARE,BARE,BARN,BURN,BURY,FURY,B,N,U,Y,F,3R,2A,1B,3R,3R,4N,3R,1B
97,BETA,BETS,BATS,RATS,RAMS,RAMP,S,A,R,M,P,2E,3T,1B,3T,4S,3T,4S,2A
98,MOST,LOST,LOFT,SOFT,SOFA,SODA,L,F,S,A,D,3S,2O,4T,1L,3F,2O,1S,2O
99,DOME,DONE,GONE,GENE,GENT,RENT,N,G,E,T,R,2O,1D,2O,3N,4E,1G,3N,2E
100,WORE,WERE,HERE,HERD,HEED,REED,E,H,D,E,R,1W,3R,2E,4E,2E,3R,2E,4D
101,RIDE,RODE,BODE,BORE,FORE,FORT,O,B,R,F,T,3D,1R,2O,4E,2O,1B,4E,2O
102,WARE,MARE,MADE,MODE,MODS,MOBS,M,D,O,S,B,3R,2A,4E,1M,4E,3D,1M,2O
103,TREY,PREY,PREP,PEEP,PEED,WEED,P,P,E,D,W,4Y,2R,2R,3E,1P,3E,3E,1P
104,DUES,DIES,DIPS,RIPS,RIPE,RIDE,I,P,R,E,D,3E,1D,1D,2I,4S,2I,2I,3P
105,MAGE,MARE,MART,MORT,TORT,TOUT,R,T,O,T,U,2A,1M,2A,1M,1M,3R,4T,2O
106,LAIR,LAID,LAND,LEND,FEND,FEUD,D,N,E,F,U,2A,1L,2A,4D,1L,4D,3N,4D
107,VIDS,LIDS,LADS,LASS,LASH,LUSH,L,A,S,H,U,2I,3D,1L,3D,2A,4S,2A,1L
108,WHIT,WAIT,BAIT,BAIL,HAIL,HAIR,A,B,L,H,R,1W,3I,3I,4T,1B,2A,3I,2A
109,WOMB,COMB,COME,CAME,CATE,FATE,C,E,A,T,F,3M,2O,2O,3M,4E,1C,1C,4E
110,MACH,MACE,MICE,DICE,DINE,DINO,E,I,D,N,O,2A,1M,4E,3C,3C,2I,2I,1D
111,CORD,CARD,BARD,BAND,BANK,BUNK,A,B,N,K,U,1C,4D,3R,2A,2A,1B,3N,1B
112,REDS,BEDS,BIDS,BINS,SINS,SINE,B,I,N,S,E,3D,4S,3D,4S,2I,4S,3N,2I
113,WARS,CARS,CABS,CUBS,CUBE,LUBE,C,B,U,E,L,2A,4S,1C,2A,4S,3B,2U,1C
114,ITEM,STEM,SEEM,SEAM,SEAT,HEAT,S,E,A,T,H,3E,2T,4M,3E,1S,4M,2E,3A
115,KNOB,KNOW,SNOW,SHOW,SHAW,SHAG,W,S,H,A,G,2N,1K,2N,4W,1S,4W,4W,2H
116,GOWN,DOWN,DAWN,DARN,DARE,DATE,D,A,R,E,T,2O,3W,1D,3W,2A,4N,3R,1D
117,SANE,BANE,BANS,BAGS,BEGS,BEES,B,S,G,E,E,3N,2A,1B,2A,1B,4S,3G,4S
118,SWAT,SEAT,BEAT,BEST,BUST,JUST,E,B,S,U,J,1S,3A,2E,3A,2E,1B,4T,3S
119,NORM,DORM,DOOM,BOOM,BOOK,TOOK,D,O,B,K,T,2O,4M,1D,2O,2O,3O,3O,1B
120,LEAF,LEAK,PEAK,PERK,PARK,LARK,K,P,R,A,L,2E,1L,3A,4K,4K,1P,4K,3R
121,MUSE,FUSE,FUSS,FURS,OURS,OARS,F,S,R,O,A,4E,3S,3S,1F,2U,1F,2U,3R
122,JEST,PEST,POST,PORT,PORK,WORK,P,O,R,K,W,2E,3S,4T,1P,1P,4T,2O,1P
123,MOTH,MATH,MACH,MACE,MICE,DICE,A,C,E,I,D,1M,3T,4H,2A,1M,2A,3C,4E
124,CLUB,CLUE,GLUE,GLEE,FLEE,FLEA,E,G,E,F,A,2L,1C,3U,2L,4E,1G,3E,2L
125,TIDY,TIDE,RIDE,RISE,ROSE,ROSY,E,R,S,O,Y,2I,3D,4E,2I,1R,2I,4E,3S
126,FOOT,FORT,FORE,FIRE,FIVE,JIVE,R,E,I,V,J,2O,4T,3R,2O,1F,4E,4E,2I
127,MIME,MILE,MALE,MALL,MAIL,MAID,L,A,L,I,D,2I,1M,4E,1M,1M,2A,1M,4L
128,OWED,OWES,OWLS,OILS,OILY,ONLY,S,L,I,Y,N,3E,2W,1O,4S,4S,1O,3L,1O
129,EYES,DYES,DYER,DEER,DEAR,PEAR,D,R,E,A,P,3E,4S,1D,2Y,1D,3E,1D,4R
130,SWAM,SEAM,SEAS,SEES,FEES,FOES,E,S,E,F,O,3A,1S,3A,2E,4S,2E,3E,2E
131,STAT,SEAT,MEAT,MEET,MEEK,WEEK,E,M,E,K,W,3A,4T,2E,3A,2E,4T,2E,3E
132,HEMP,HEAP,HEAL,DEAL,DELL,DULL,A,L,D,L,U,4P,1H,1H,2E,3A,2E,4L,2E
133,RIPE,RITE,BITE,BITS,BOTS,DOTS,T,B,S,O,D,4E,1R,2I,4E,2I,3T,1B,3T
134,MOON,MORN,CORN,COIN,CAIN,VAIN,R,C,I,A,V,2O,4N,4N,2O,2O,4N,1C,4N
135,FIGS,DIGS,DOGS,DONS,DONE,DOLE,D,O,N,E,L,4S,2I,4S,1D,1D,4S,1D,2O
136,WITH,WITS,PITS,PICS,PICK,TICK,S,P,C,K,T,1W,3T,2I,4S,2I,4S,2I,3C
137,SAGE,SANE,SAND,SEND,SEED,PEED,N,D,E,E,P,1S,4E,1S,3N,4D,1S,4D,1S
138,KANE,SANE,SAND,SEND,SEED,PEED,S,D,E,E,P,4E,2A,2A,1S,3N,4D,2E,4D
139,MEAL,MEAT,MELT,MALT,MART,MARS,T,L,A,R,S,2E,3A,2E,4T,3L,4T,1M,2A
140,CHEF,CHEW,CREW,GREW,GREY,GRAY,W,R,G,Y,A,3E,1C,4W,3E,2R,4W,2R,1G
141,LIVE,HIVE,HIDE,AIDE,AIDS,AIMS,H,D,A,S,M,2I,4E,2I,4E,2I,3D,3D,2I
142,SEND,SENT,RENT,REST,RUST,RUSH,T,R,S,U,H,2E,1S,2E,4T,2E,1R,4T,3S
143,DIVE,HIVE,HAVE,HALE,HALL,HAIL,H,A,L,L,I,2I,3V,1H,4E,1H,4E,2A,3L
144,MATT,MATS,MAPS,RAPS,REPS,REFS,S,P,R,E,F,3T,2A,2A,4S,4S,2A,1R,3P
145,FOLD,COLD,COLT,COAT,CHAT,CHIT,C,T,A,H,I,4D,3L,2O,1C,1C,4T,3A,4T
146,DEBT,DENT,TENT,TENS,TEES,TIES,N,T,S,E,I,4T,1D,3N,2E,1T,2E,2E,1T
147,DILL,DOLL,TOLL,TOIL,COIL,COIN,O,T,I,C,N,1D,4L,2O,3L,2O,1T,4L,2O
148,REED,PEED,PEEK,PECK,DECK,DECO,P,K,C,D,O,2E,3E,2E,1P,2E,1P,2E,3C
149,FLOW,FLAW,FLAT,FEAT,HEAT,HEAD,A,T,E,H,D,2L,1F,3A,1F,4T,1F,4T,2E
150,BELL,BULL,DULL,DUEL,DUES,CUES,U,D,E,S,C,1B,3L,2U,4L,2U,1D,2U,3E
151,ZERO,HERO,HERE,HIRE,WIRE,WIPE,H,E,I,W,P,2E,3R,2E,1H,4E,1H,2I,4E
152,TUNA,TUNG,TANG,TANK,TALK,WALK,G,A,K,L,W,3N,2U,1T,3N,1T,2A,4K,1T
153,POLE,DOLE,DOME,DIME,LIME,LIMA,D,M,I,L,A,2O,3L,1D,2O,1D,4E,4E,2I
154,NOTE,TOTE,TATE,HATE,HATS,HAYS,T,A,H,S,Y,4E,2O,3T,4E,3T,4E,1H,3T
155,MAKE,CAKE,CASE,CAST,COST,POST,C,S,T,O,P,2A,4E,1C,2A,3S,1C,4T,3S
156,MAST,MOST,MOAT,BOAT,BOAR,ROAR,O,A,B,R,R,3S,1M,1M,2O,2O,4T,1B,2O
157,DAYS,BAYS,BATS,BETS,BETA,ZETA,B,T,E,A,Z,4S,3Y,2A,1B,1B,3T,1B,2E
158,FLOW,FLAW,FLAG,SLAG,SLAB,STAB,A,G,S,B,T,2L,1F,1F,3A,3A,2L,2L,3A
159,TINT,TINS,BINS,BIAS,BRAS,BRAG,S,B,A,R,G,2I,3N,4S,2I,2I,1B,4S,3A
160,REDO,REDS,REES,LEES,LIES,LIEN,S,E,L,I,N,1R,3D,4S,1R,3E,2E,3E,4S
161,KINK,KIND,BIND,BEND,BEAD,BEAU,D,B,E,A,U,2I,1K,2I,4D,3N,4D,1B,4D
162,STAG,STAT,SEAT,SEAS,SETS,JETS,T,E,S,T,J,3A,1S,3A,4T,3A,1S,1S,2E
163,VOWS,COWS,CONS,CANS,CARS,CARP,C,N,A,R,P,2O,4S,4S,2O,3N,1C,2A,4S
164,FANS,MANS,MARS,MART,MORT,MOOT,M,R,T,O,O,3N,2A,1M,4S,1M,2A,3R,1M
165,MASS,BASS,BOSS,BOOS,BOON,NOON,B,O,O,N,N,4S,2A,1B,4S,4S,2O,2O,1B
166,LAWN,LAWS,LAYS,GAYS,GUYS,GUTS,S,Y,G,U,T,2A,1L,1L,4S,2A,4S,4S,1G
167,TIER,TIES,TINS,WINS,WINE,WIRE,S,N,W,E,R,2I,1T,4S,2I,4S,3N,3N,2I
168,LAWS,LASS,LOSS,JOSS,JOSH,POSH,S,O,J,H,P,1L,2A,1L,3S,3S,4S,3S,1J
169,GETS,BETS,BATS,BARS,BARD,WARD,B,A,R,D,W,4S,3T,1B,3T,1B,4S,3R,2A
170,CUTS,PUTS,PUNS,PUNK,PUCK,TUCK,P,N,K,C,T,4S,3T,4S,2U,1P,3N,4K,1P
171,HYPE,HOPE,HONE,LONE,LANE,LAND,O,N,L,A,D,3P,1H,2O,4E,3N,2O,4E,3N
172,DIRE,DIRK,DORK,CORK,COOK,ROOK,K,O,C,O,R,1D,3R,1D,3R,3R,2O,2O,4K
173,GALA,GALE,BALE,BANE,BANG,TANG,E,B,N,G,T,2A,3L,4E,2A,2A,1B,2A,3N
174,BIAS,BIOS,BOOS,BOOK,COOK,CORK,O,O,K,C,R,2I,1B,1B,3O,3O,1B,2O,4K
175,HUFF,RUFF,RIFF,RIFE,LIFE,LICE,R,I,E,L,C,3F,2U,3F,1R,1R,3F,3F,4E
176,PROP,CROP,COOP,COOL,FOOL,FOOD,C,O,L,F,D,2R,3O,1C,3O,3O,1C,3O,2O
177,FLAX,FLEX,FLED,SLED,SHED,SHES,E,D,S,H,S,1F,4X,3E,1F,4D,2L,4D,1S
178,PIED,LIED,LIEN,LINN,LING,LANG,L,N,N,G,A,4D,2I,1L,3E,4N,2I,3N,2I
179,CURT,CART,CARS,CAPS,CUPS,PUPS,A,S,P,U,P,4T,1C,3R,2A,2A,1C,3P,4S
180,DUET,DUCT,DUCK,DUNK,DANK,HANK,C,K,N,A,H,1D,2U,1D,2U,1D,2U,3N,4K
181,VERY,VARY,WARY,WARS,MARS,MATS,A,W,S,M,T,1V,4Y,3R,2A,2A,3R,2A,4S
182,WIKI,WIFI,WIFE,FIFE,FIVE,DIVE,F,E,F,V,D,4I,2I,1W,2I,3F,2I,2I,4E
183,STIR,STAR,STAG,SLAG,SLUG,PLUG,A,G,L,U,P,1S,4R,1S,3A,4G,3A,2L,4G
184,BOOS,BIOS,BINS,BIND,FIND,FUND,I,N,D,F,U,1B,3O,1B,2I,3N,2I,3N,2I
185,JANE,BANE,BARE,FARE,FARM,FIRM,B,R,F,M,I,4E,3N,1B,2A,4E,3R,1F,2A
186,BORE,BONE,BONG,DONG,DUNG,RUNG,N,G,D,U,R,1B,2O,1B,2O,2O,4G,4G,1D
187,TEAS,SEAS,SEAM,SEEM,STEM,ITEM,S,M,E,T,I,2E,4S,2E,1S,2E,4M,3E,4M
188,KITE,CITE,CATE,FATE,FACE,FACT,C,A,F,C,T,2I,3T,4E,1C,2A,4E,2A,1F
189,BARK,DARK,DIRK,DISK,DISS,KISS,D,I,S,S,K,2A,3R,4K,1D,1D,2I,1D,3S
190,CAME,CASE,CAST,PAST,PEST,PEAT,S,T,P,E,A,4E,2A,2A,1C,2A,4T,4T,3S
191,DOCS,DONS,DONE,DOSE,ROSE,ROSY,N,E,S,R,Y,2O,4S,1D,2O,4E,2O,4E,2O
192,NEST,LEST,LENT,LENS,PENS,PINS,L,N,S,P,I,3S,4T,4T,2E,1L,2E,4S,2E
193,COAL,COAT,BOAT,BEAT,BENT,GENT,T,B,E,N,G,3A,2O,3A,4T,3A,4T,1B,2E
194,CORD,CARD,BARD,BARS,BAGS,BEGS,A,B,S,G,E,1C,3R,4D,2A,3R,1B,1B,2A
195,ANEW,KNEW,KNOW,SNOW,SLOW,SLEW,K,O,S,L,E,2N,3E,2N,4W,2N,3O,3O,4W
196,MUMS,MOMS,MODS,MODE,CODE,COVE,O,D,E,C,V,3M,1M,4S,2O,1M,2O,4E,2O
197,VANS,BANS,BANE,BARE,HARE,HERE,B,E,R,H,E,2A,3N,3N,1B,1B,2A,3R,2A
198,CITE,CATE,CASE,CAST,COST,POST,A,S,T,O,P,4E,3T,1C,2A,1C,3S,4T,1C
199,EASY,EASE,BASE,BANE,BANK,SANK,E,B,N,K,S,3S,2A,3S,2A,1B,4E,2A,3N
200,KETO,VETO,VETS,PETS,POTS,POPS,V,S,P,O,P,3T,2E,1V,2E,4S,3T,1P,3T
201,WISE,WIRE,WARE,CARE,CART,CURT,R,A,C,T,U,4E,1W,3R,4E,3R,4E,1C,2A
202,GERM,PERM,PERK,PECK,PICK,WICK,P,K,C,I,W,2E,3R,1P,3R,2E,4K,1P,4K
203,FITS,FATS,FANS,FANG,RANG,RANT,A,N,G,R,T,4S,1F,1F,4S,3N,1F,4G,2A
204,CONS,CANS,BANS,BATS,BATH,BETH,A,B,T,H,E,3N,1C,2A,3N,1B,4S,1B,2A
205,BORE,MORE,MORT,MOAT,MEAT,FEAT,M,T,A,E,F,3R,4E,2O,1M,1M,4T,1M,3A
206,DARE,DIRE,DINE,FINE,FINS,FIGS,I,N,F,S,G,3R,1D,2I,1D,2I,4E,1F,3N
207,CARL,CALL,MALL,MILL,MILK,SILK,L,M,I,K,S,1C,2A,4L,2A,1M,4L,3L,1M
208,RANG,RUNG,RUNE,RUDE,RIDE,AIDE,U,E,D,I,A,4G,3N,2U,1R,4E,2U,4E,3D
209,REIN,RAIN,RAIL,TAIL,TALL,TELL,A,L,T,L,E,4N,3I,3I,2A,4L,2A,1T,2A
210,WIDE,HIDE,HIRE,HERE,HERD,HELD,H,R,E,D,L,2I,4E,1H,2I,1H,3R,1H,3R
211,DYED,DYES,DUES,SUES,SUNS,NUNS,S,U,S,N,N,1D,2Y,3E,4S,2U,4S,4S,2U
212,AFRO,AERO,HERO,HERB,VERB,VERY,E,H,B,V,Y,3R,1A,4O,3R,2E,3R,3R,2E
213,FIST,FIAT,FRAT,BRAT,BRIT,BRIE,A,R,B,I,E,1F,4T,4T,3A,2R,4T,1B,2R
214,PIMP,LIMP,LAMP,RAMP,RAMS,RAPS,L,A,R,S,P,3M,2I,4P,3M,3M,2A,2A,3M
215,FELL,DELL,DOLL,DOLE,COLE,CONE,D,O,E,C,N,3L,2E,4L,3L,1D,3L,3L,2O
216,YOKE,POKE,PIKE,PINE,PINS,PENS,P,I,N,S,E,2O,3K,3K,4E,2I,4E,2I,3N
217,STAG,STAT,SEAT,BEAT,BEAN,LEAN,T,E,B,N,L,3A,2T,1S,4T,3A,4T,3A,1B
218,CELL,DELL,DOLL,DOLE,DOME,DIME,D,O,E,M,I,2E,4L,4L,3L,1D,3L,2O,4E
219,TRIM,TRAM,TEAM,SEAM,SEEM,SEEN,A,E,S,E,N,2R,4M,4M,3A,3A,4M,4M,1S
220,AMPS,APPS,APES,AXES,EXES,EYES,P,E,X,E,Y,4S,3P,1A,4S,3E,4S,4S,2X
