Date,Hard,Medium,Easy
2025-12-14,5002,241,8515
2025-12-15,5577,4383,1401
2025-12-16,6348,7087,5166
2025-12-17,1939,4411,9336
2025-12-18,2048,703,9965
2025-12-19,9341,34,5190
2025-12-20,3953,6364,3305
2025-12-21,8685,1952,2964
2025-12-22,4783,7883,1157
2025-12-23,1653,1141,673
2025-12-24,6581,7947,1119
2025-12-25,6374,8476,9845
2025-12-26,84,4195,9834
2025-12-27,6315,4163,6626
2025-12-28,8616,8996,4655
2025-12-29,1132,6080,4259
2025-12-30,1542,2514,5977
2025-12-31,8003,1723,8711
2026-01-01,6063,5624,3914
2026-01-02,7746,7157,2991
2026-01-03,1650,1569,3516
2026-01-04,229,2497,5064
2026-01-05,7025,8761,4714
2026-01-06,6298,4676,2694
2026-01-07,1976,9954,2711
2026-01-08,8235,4988,1576
2026-01-09,880,186,1333
2026-01-10,1422,3153,8609
2026-01-11,8754,979,9045
2026-01-12,9244,2601,1048
2026-01-13,8731,3931,6192
2026-01-14,3957,9158,6167
2026-01-15,1205,6098,7240
2026-01-16,6378,7191,6814
2026-01-17,1293,538,4441
2026-01-18,2533,3215,3938
2026-01-19,8219,8131,7977
2026-01-20,2584,6303,4631
2026-01-21,6535,3360,5516
2026-01-22,1164,1227,4862
2026-01-23,7263,810,9367
2026-01-24,6461,5765,8821
2026-01-25,2060,5462,3440
2026-01-26,1355,9214,1175
2026-01-27,1579,7143,2204
2026-01-28,7174,9451,1154
2026-01-29,8141,9602,5101
2026-01-30,8024,5482,4384
2026-01-31,2823,2994,7408
2026-02-01,747,1393,2369
2026-02-02,5726,2830,6427
2026-02-03,9389,4416,3246
2026-02-04,7236,7734,5378
2026-02-05,4137,339,686
2026-02-06,6189,4536,7598
2026-02-07,3051,8795,8618
2026-02-08,9192,4630,9916
2026-02-09,9240,2551,322
2026-02-10,2376,5585,4681
2026-02-11,4564,6479,8374
2026-02-12,8955,9757,8401
2026-02-13,9166,8909,3563
2026-02-14,8064,3381,8391
2026-02-15,4610,4335,3411
2026-02-16,9509,6190,3624
2026-02-17,7834,263,639
2026-02-18,882,6528,6862
2026-02-19,3299,4334,5364
2026-02-20,5784,9249,2144
2026-02-21,5163,5167,1702
2026-02-22,7839,6965,7857
2026-02-23,6691,4890,9482
2026-02-24,4202,7028,1299
2026-02-25,525,2303,5958
2026-02-26,7504,5355,3389
2026-02-27,2155,51,9639
2026-02-28,3125,9678,2482
2026-03-01,7469,3560,1791
2026-03-02,3509,8613,3525
2026-03-03,5091,4065,821
2026-03-04,7132,635,2949
2026-03-05,5079,3956,674
2026-03-06,1925,7683,3705
2026-03-07,6497,4409,1688
2026-03-08,2744,6590,4854
2026-03-09,8545,532,4287
2026-03-10,8386,6209,6644
2026-03-11,6661,1489,7108
2026-03-12,9247,1609,8144
2026-03-13,1897,78,9259
2026-03-14,478,9982,7426
2026-03-15,2342,7154,6475
2026-03-16,9615,8923,8159
2026-03-17,3073,5134,538
2026-03-18,6583,278,5652
2026-03-19,4314,9570,2981
2026-03-20,1319,125,9236
2026-03-21,6240,2527,7410
2026-03-22,1010,4119,3917
2026-03-23,6447,9964,3519
2026-03-24,2739,4973,7529
2026-03-25,4024,8808,1759
2026-03-26,3578,9632,9386
2026-03-27,5728,7106,9190
2026-03-28,5909,9053,5314
2026-03-29,3473,9613,9617
2026-03-30,8539,2183,2412
2026-03-31,267,8776,3240
2026-04-01,4061,2771,6430
2026-04-02,7598,4134,6389
2026-04-03,7273,8692,9890
2026-04-04,7135,6044,8379
2026-04-05,5384,1784,9989
2026-04-06,2762,9691,7737
2026-04-07,8432,9832,9641
2026-04-08,2904,1684,6561
2026-04-09,7365,3786,3498
2026-04-10,7156,2670,2498
2026-04-11,7644,3831,571
2026-04-12,3794,6489,7823
2026-04-13,8838,4900,2100
2026-04-14,7963,2096,7146
2026-04-15,142,2499,9659
2026-04-16,4787,4783,5276
2026-04-17,1704,119,3775
2026-04-18,99,9727,6323
2026-04-19,8871,9684,3969
2026-04-20,2141,8582,1536
2026-04-21,605,5734,1483
2026-04-22,7219,3460,6282
2026-04-23,4239,6411,7027
2026-04-24,4999,7557,4873
2026-04-25,5396,2353,4046
2026-04-26,5888,8585,2990
2026-04-27,6360,7591,306
2026-04-28,4435,324,8680
2026-04-29,6391,7671,9879
2026-04-30,191,2718,4419
2026-05-01,7971,5175,3282
2026-05-02,5372,4454,1004
2026-05-03,1819,8190,1143
2026-05-04,3553,7639,4843
2026-05-05,7062,5281,9220
2026-05-06,6389,6653,7080
2026-05-07,7169,7467,2737
2026-05-08,9024,7563,7814
2026-05-09,7366,6753,9714
2026-05-10,792,9465,3333
2026-05-11,3572,1526,5462
2026-05-12,9531,6799,9305
2026-05-13,78,255,8381
2026-05-14,7737,4127,8862
2026-05-15,9658,731,7353
2026-05-16,7494,2730,3276
2026-05-17,6399,9583,5042
2026-05-18,918,4760,1863
2026-05-19,241,5259,3703
2026-05-20,1443,3490,2341
2026-05-21,1720,4145,8421
2026-05-22,1906,2657,744
2026-05-23,4118,1937,2437
2026-05-24,8424,1612,1054
2026-05-25,8335,8486,1577
2026-05-26,2444,1881,9096
2026-05-27,8887,6092,554
2026-05-28,5646,7038,7567
2026-05-29,6332,3534,1756
2026-05-30,4444,6682,1978
2026-05-31,6256,9173,7483
2026-06-01,540,6906,2423
2026-06-02,4781,8869,1173
2026-06-03,6088,4356,1801
2026-06-04,6886,4793,5047
2026-06-05,3002,7279,1689
2026-06-06,3248,7247,3326
2026-06-07,7486,1008,5256
2026-06-08,6475,2390,7501
2026-06-09,1829,2377,4586
2026-06-10,6650,1524,9237
2026-06-11,3555,8917,5883
2026-06-12,4691,8237,7343
2026-06-13,7932,120,9541
2026-06-14,8862,9639,8282
2026-06-15,94,7432,1176
2026-06-16,112,1234,483
2026-06-17,2184,4474,5614
2026-06-18,8962,8946,8777
2026-06-19,5470,5926,5707
2026-06-20,3167,5562,4275
2026-06-21,209,1869,2864
2026-06-22,43,2934,8429
2026-06-23,299,5448,8438
2026-06-24,953,9330,3560
2026-06-25,7816,6853,2326
2026-06-26,2030,7821,6269
2026-06-27,8377,908,5210
2026-06-28,8915,1338,3974
2026-06-29,6887,2867,3359
2026-06-30,2276,9235,7664
2026-07-01,3603,2370,2316
2026-07-02,7631,4085,6005
2026-07-03,4346,4194,3660
2026-07-04,6141,5520,6160
2026-07-05,4707,6683,6891
2026-07-06,5691,5579,6554
2026-07-07,2187,5049,3666
2026-07-08,5290,3500,7494
2026-07-09,2658,8417,2327
2026-07-10,6071,9988,4911
2026-07-11,2626,4009,4721
2026-07-12,5460,5592,996
2026-07-13,8926,4000,1097
2026-07-14,4529,4238,3247
2026-07-15,4853,5889,3275
2026-07-16,5753,4080,2668
2026-07-17,4300,3244,5834
2026-07-18,5931,5352,6960
2026-07-19,9827,7072,2984
2026-07-20,6341,418,9829
2026-07-21,8600,2997,8561
2026-07-22,7935,6608,4707
2026-07-23,9373,4187,9841
2026-07-24,163,7068,5440
2026-07-25,4146,2169,6870
2026-07-26,9457,1934,7864
2026-07-27,2419,5288,2254
2026-07-28,9147,1480,7926
2026-07-29,1331,5553,9780
2026-07-30,8435,6281,6670
2026-07-31,8772,7964,783
2026-08-01,2706,5516,734
2026-08-02,8399,4222,9031
2026-08-03,6655,9575,8549
2026-08-04,9500,9857,7563
2026-08-05,7290,238,5013
2026-08-06,6930,3722,7333
2026-08-07,6927,928,2682
2026-08-08,6404,1760,3896
2026-08-09,1849,4855,4811
2026-08-10,7302,8792,5677
2026-08-11,306,3236,337
2026-08-12,8421,2928,3931
2026-08-13,1561,4073,3348
2026-08-14,2382,2474,5950
2026-08-15,8886,2871,6364
2026-08-16,7576,787,8308
2026-08-17,6971,8133,5849
2026-08-18,1358,1621,4352
2026-08-19,2407,7912,2147
2026-08-20,4041,5444,380
2026-08-21,1329,4833,6148
2026-08-22,4304,4976,1389
2026-08-23,9715,7703,3373
2026-08-24,9228,5008,1641
2026-08-25,3056,8199,718
2026-08-26,7043,800,1022
2026-08-27,3544,4217,2674
2026-08-28,1110,3525,7753
2026-08-29,1571,4697,5108
2026-08-30,7924,420,614
2026-08-31,3018,8447,9465
2026-09-01,9594,3145,7073
2026-09-02,3119,3921,4278
2026-09-03,842,2198,2398
2026-09-04,6293,9968,4465
2026-09-05,9763,8717,244
2026-09-06,1830,5351,9738
2026-09-07,8345,6796,122
2026-09-08,1945,9256,3702
2026-09-09,5462,1063,8413
2026-09-10,3855,4623,423
2026-09-11,7474,6265,6184
2026-09-12,5793,5508,2673
2026-09-13,2760,765,7252
2026-09-14,197,8737,8024
2026-09-15,4158,6217,4369
2026-09-16,2122,7352,986
2026-09-17,993,5255,6558
2026-09-18,725,6619,8913
2026-09-19,8499,6061,6188
2026-09-20,4258,2832,651
2026-09-21,1666,6827,7603
2026-09-22,2304,8935,8213
2026-09-23,839,2887,8493
2026-09-24,3110,9568,6672
2026-09-25,534,9989,3179
2026-09-26,1252,6601,2582
2026-09-27,4193,5342,3480
2026-09-28,5060,1153,7691
2026-09-29,5696,3535,5199
2026-09-30,2449,9541,4448
2026-10-01,7094,1658,5842
2026-10-02,9423,7529,1224
2026-10-03,1851,5657,1724
2026-10-04,2811,1548,4083
2026-10-05,8769,1472,7154
2026-10-06,7069,1909,8967
2026-10-07,7032,8243,519
2026-10-08,8550,5171,1661
2026-10-09,1348,8059,9295
2026-10-10,1051,6806,4349
2026-10-11,5215,2954,5069
2026-10-12,320,5406,1514
2026-10-13,8877,925,6011
2026-10-14,3483,8607,3103
2026-10-15,1814,845,4322
2026-10-16,3162,1148,4302
2026-10-17,2838,2865,9351
2026-10-18,4224,4947,562
2026-10-19,6872,5176,4643
2026-10-20,4242,9785,8467
2026-10-21,3321,1564,8886
2026-10-22,4080,9532,8624
2026-10-23,8162,4504,7809
2026-10-24,6600,510,2127
2026-10-25,6996,2959,7625
2026-10-26,6355,74,5249
2026-10-27,2074,2135,4288
2026-10-28,8346,9050,4757
2026-10-29,2769,4791,7654
2026-10-30,3374,2287,4458
2026-10-31,701,4951,2170
2026-11-01,7296,4963,8824
2026-11-02,3100,3796,1713
2026-11-03,4910,6182,9255
2026-11-04,6331,7392,2918
2026-11-05,9522,6560,8354
2026-11-06,3940,21,6587
2026-11-07,3536,1079,2625
2026-11-08,2247,8623,4200
2026-11-09,2896,5908,8988
2026-11-10,2628,29,6580
2026-11-11,6904,2299,963
2026-11-12,7100,4996,9620
2026-11-13,5567,2745,1422
2026-11-14,5591,3569,1337
2026-11-15,7855,1108,9865
2026-11-16,8773,855,8130
2026-11-17,3829,8646,5603
2026-11-18,8319,1544,6786
2026-11-19,4514,1216,4695
2026-11-20,8476,3557,3392
2026-11-21,6357,1758,1213
2026-11-22,8381,9362,300
2026-11-23,1300,2521,6816
2026-11-24,8584,5303,6296
2026-11-25,4503,7590,5764
2026-11-26,8599,6804,5174
2026-11-27,3776,5218,8744
2026-11-28,4846,6872,2906
2026-11-29,4074,7823,757
2026-11-30,991,2779,4480
2026-12-01,1764,8047,2396
2026-12-02,4571,5149,895
2026-12-03,1367,3355,3073
2026-12-04,5217,959,6301
2026-12-05,8083,5279,949
2026-12-06,4585,7495,6762
2026-12-07,5602,7571,1870
2026-12-08,6885,8140,3207
2026-12-09,3783,7983,2308
2026-12-10,3643,748,4780
2026-12-11,4654,2488,7448
2026-12-12,8801,759,6692
2026-12-13,5308,5157,7613
2026-12-14,6290,562,1005
2026-12-15,3568,6710,3012
2026-12-16,8676,2818,3455
2026-12-17,639,8094,8246
2026-12-18,9942,2921,2246
2026-12-19,7104,1697,317
2026-12-20,8415,2888,7393
2026-12-21,377,326,4195
2026-12-22,665,6141,7927
2026-12-23,4381,4459,8666
2026-12-24,6552,2625,8978
2026-12-25,4792,8611,8173
2026-12-26,5161,4845,8275
2026-12-27,7864,1067,2335
2026-12-28,7777,5345,5160
2026-12-29,9626,5566,2098
2026-12-30,6052,1176,6804
2026-12-31,4250,1252,9532
2027-01-01,8672,1724,3128
2027-01-02,4228,1354,6512
2027-01-03,243,3892,6843
2027-01-04,644,3952,3716
2027-01-05,4121,4675,5717
2027-01-06,8176,4156,240
2027-01-07,5575,166,3697
2027-01-08,4423,1593,4346
2027-01-09,7470,7999,5424
2027-01-10,9537,8459,6950
2027-01-11,4784,2749,8477
2027-01-12,1852,4040,6289
2027-01-13,6444,2988,8220
2027-01-14,3937,7574,5334
2027-01-15,4033,1326,5839
2027-01-16,1835,540,9160
2027-01-17,5322,3027,4202
2027-01-18,7449,1360,8519
2027-01-19,7115,4465,2448
2027-01-20,6425,9580,9787
2027-01-21,3690,6847,8015
2027-01-22,7324,2571,8636
2027-01-23,223,3538,111
2027-01-24,909,8481,8779
2027-01-25,8742,7139,2120
2027-01-26,9894,5542,8931
2027-01-27,5694,8563,6555
2027-01-28,1175,886,847
2027-01-29,7229,388,1293
2027-01-30,8230,2872,399
2027-01-31,8324,2748,4459
2027-02-01,9060,5677,5960
2027-02-02,7740,9951,2049
2027-02-03,581,5620,5269
2027-02-04,5415,4881,646
2027-02-05,7514,9948,1416
2027-02-06,6545,6166,2292
2027-02-07,5917,6225,8741
2027-02-08,8888,1164,7781
2027-02-09,494,3705,1893
2027-02-10,7089,9043,7221
2027-02-11,6305,6091,9600
2027-02-12,427,9319,1170
2027-02-13,2420,9596,6577
2027-02-14,6050,4816,4286
2027-02-15,7270,5240,4117
2027-02-16,5787,3741,728
2027-02-17,7239,217,5897
2027-02-18,9303,8988,5204
2027-02-19,1310,5186,9104
2027-02-20,4755,5848,7900
2027-02-21,9985,567,1399
2027-02-22,4330,3967,979
2027-02-23,4232,155,6673
2027-02-24,7108,7221,6755
2027-02-25,9818,7746,4712
2027-02-26,7980,3523,5071
2027-02-27,6076,4665,4429
2027-02-28,7564,1081,9554
2027-03-01,2413,8700,5043
2027-03-02,4926,2924,3306
2027-03-03,7401,3965,469
2027-03-04,745,4575,1631
2027-03-05,8234,3208,997
2027-03-06,4580,9346,521
2027-03-07,833,9905,8662
2027-03-08,7286,9628,7461
2027-03-09,8107,6271,7636
2027-03-10,3789,4108,6046
2027-03-11,586,9011,6287
2027-03-12,8116,2428,3500
2027-03-13,8422,5586,8256
2027-03-14,8263,3094,4484
2027-03-15,9432,282,6037
2027-03-16,1617,2807,7283
2027-03-17,4432,6268,9127
2027-03-18,5738,6176,689
2027-03-19,5818,951,5484
2027-03-20,4840,2522,4816
2027-03-21,9781,3725,1147
2027-03-22,5972,3231,7178
2027-03-23,2244,8881,222
2027-03-24,7002,921,4192
2027-03-25,4670,664,8088
2027-03-26,5999,2901,1856
2027-03-27,4882,3684,2805
2027-03-28,3203,8522,4210
2027-03-29,1884,8113,8900
2027-03-30,7080,4323,4562
2027-03-31,4356,6425,2589
2027-04-01,9032,3248,5318
2027-04-02,9964,1172,695
2027-04-03,6109,9417,9244
2027-04-04,1800,1914,6261
2027-04-05,3,2041,3161
2027-04-06,2782,7839,4536
2027-04-07,5569,9032,5425
2027-04-08,4955,9425,7015
2027-04-09,2171,4109,1824
2027-04-10,2771,8715,3789
2027-04-11,1804,3368,7998
2027-04-12,1454,8843,2201
2027-04-13,9367,5882,7746
2027-04-14,8681,7990,3913
2027-04-15,8058,2605,6565
2027-04-16,9280,5637,8244
2027-04-17,1357,70,1265
2027-04-18,2277,7878,9335
2027-04-19,2230,8510,8299
2027-04-20,1699,4371,6137
2027-04-21,9843,5017,3110
2027-04-22,5685,8635,5112
2027-04-23,12,9008,3841
2027-04-24,891,7338,8610
2027-04-25,5304,2465,4621
2027-04-26,5797,8691,3391
2027-04-27,9172,1973,7155
2027-04-28,2773,8649,4218
2027-04-29,3609,9040,7885
2027-04-30,6637,1751,7652
2027-05-01,2104,5163,4729
2027-05-02,5721,6765,7156
2027-05-03,4772,3583,3532
2027-05-04,4249,5942,2048
2027-05-05,9300,9357,6439
2027-05-06,2986,3630,6979
2027-05-07,5654,4415,2849
2027-05-08,682,6193,8228
2027-05-09,7861,4144,4665
2027-05-10,9769,4395,7526
2027-05-11,7582,9567,3067
2027-05-12,4810,7040,6714
2027-05-13,3102,7227,5527
2027-05-14,8604,6202,4789
2027-05-15,5657,1,9749
2027-05-16,9994,1483,9956
2027-05-17,2513,9025,6357
2027-05-18,8961,4013,5984
2027-05-19,543,4832,8191
2027-05-20,9078,3711,9414
2027-05-21,8459,2554,2548
2027-05-22,5291,5555,5512
2027-05-23,6603,5494,2053
2027-05-24,1436,5383,7861
2027-05-25,3303,5162,8070
2027-05-26,7554,5367,2487
2027-05-27,9148,8340,3631
2027-05-28,810,9177,4010
2027-05-29,4282,7267,552
2027-05-30,6274,3339,487
2027-05-31,7244,514,1552
2027-06-01,7309,271,8456
2027-06-02,4296,9055,7758
2027-06-03,5432,5296,9888
2027-06-04,1233,7320,926
2027-06-05,9990,6457,8201
2027-06-06,4851,6102,6685
2027-06-07,7323,4553,4476
2027-06-08,2185,7092,4474
2027-06-09,2567,9133,3472
2027-06-10,334,6657,9023
2027-06-11,1540,5505,6915
2027-06-12,2345,6635,6156
2027-06-13,4745,3833,9217
2027-06-14,5021,462,4934
2027-06-15,8952,6338,4221
2027-06-16,5801,6509,4073
2027-06-17,2173,5439,7626
2027-06-18,964,9005,2801
2027-06-19,6738,2674,2934
2027-06-20,4464,6738,51
2027-06-21,6830,2971,5284
2027-06-22,6190,3229,2757
2027-06-23,750,6103,8117
2027-06-24,4790,3676,4508
2027-06-25,753,6939,6932
2027-06-26,9099,2199,8910
2027-06-27,4897,4421,5139
2027-06-28,6166,2023,4175
2027-06-29,1464,66,4882
2027-06-30,4497,300,3787
2027-07-01,1605,1025,7708
2027-07-02,2834,753,8371
2027-07-03,9868,973,2141
2027-07-04,9052,2882,2921
2027-07-05,8593,3675,8274
2027-07-06,1099,4143,1840
2027-07-07,7383,6360,4750
2027-07-08,5051,4422,3564
2027-07-09,335,6559,179
2027-07-10,6970,3852,1906
2027-07-11,6124,95,6859
2027-07-12,4976,2772,5258
2027-07-13,4489,7602,1874
2027-07-14,712,7796,9500
2027-07-15,3017,9459,6133
2027-07-16,5690,5359,1024
2027-07-17,1138,3551,3086
2027-07-18,1754,1288,9619
2027-07-19,4473,4318,3975
2027-07-20,2477,5064,6062
2027-07-21,3515,3571,1583
2027-07-22,7441,6293,5467
2027-07-23,8695,3423,5391
2027-07-24,4869,213,8349
2027-07-25,2573,1536,3530
2027-07-26,8482,5722,883
2027-07-27,6778,642,7013
2027-07-28,9975,1694,9080
2027-07-29,6746,5094,8249
2027-07-30,8750,5193,3728
2027-07-31,1327,6711,9878
2027-08-01,9828,4211,8587
2027-08-02,8310,7617,5131
2027-08-03,1424,6992,7721
2027-08-04,4100,7,8226
2027-08-05,2240,561,3338
2027-08-06,4880,49,8281
2027-08-07,3812,1339,8882
2027-08-08,9793,6262,5232
2027-08-09,6824,1843,6596
2027-08-10,1875,2282,6665
2027-08-11,830,7446,3235
2027-08-12,3927,8977,1561
2027-08-13,8307,1682,9816
2027-08-14,5343,8406,8107
2027-08-15,3700,9185,7419
2027-08-16,2731,9174,4895
2027-08-17,8132,5662,6182
2027-08-18,9727,1639,7571
2027-08-19,5946,3053,5158
2027-08-20,7692,4186,3142
2027-08-21,6577,1096,4132
2027-08-22,3562,3749,5277
2027-08-23,9944,5709,4832
2027-08-24,4923,8324,8163
2027-08-25,6928,7728,9106
2027-08-26,8182,5195,4828
2027-08-27,9015,5673,3445
2027-08-28,7674,9923,50
2027-08-29,7558,6637,658
2027-08-30,2529,781,1755
2027-08-31,3919,4555,4979
2027-09-01,9096,2846,1574
2027-09-02,8046,457,6294
2027-09-03,2532,222,7918
2027-09-04,5849,5501,7262
2027-09-05,1342,902,1042
2027-09-06,3582,5215,3269
2027-09-07,7349,7764,8114
2027-09-08,4918,7055,405
2027-09-09,7959,1458,4567
2027-09-10,7856,9953,6039
2027-09-11,3270,3827,5739
2027-09-12,4140,396,5993
2027-09-13,3606,9709,3177
2027-09-14,3524,9020,4013
2027-09-15,3864,6164,5767
2027-09-16,422,9243,2324
2027-09-17,2333,7109,9520
2027-09-18,9689,1665,165
2027-09-19,3334,7286,7329
2027-09-20,898,4548,2420
2027-09-21,516,5126,9345
2027-09-22,822,9081,9098
2027-09-23,5714,2048,8382
2027-09-24,340,5682,2669
2027-09-25,7767,2638,3398
2027-09-26,8513,9609,5109
2027-09-27,277,8797,2762
2027-09-28,502,3902,5816
2027-09-29,6158,1102,396
2027-09-30,3406,6955,1749
2027-10-01,6304,7811,5789
2027-10-02,5271,2519,6472
2027-10-03,8367,7802,2798
2027-10-04,5480,6621,6347
2027-10-05,6056,4104,1851
2027-10-06,5172,2618,5475
2027-10-07,4388,8206,9204
2027-10-08,5418,5758,3609
2027-10-09,1012,6476,5990
2027-10-10,7447,9722,6992
2027-10-11,3039,798,3534
2027-10-12,1046,6003,8437
2027-10-13,2231,145,3955
2027-10-14,3061,3743,9788
2027-10-15,5944,8319,4319
2027-10-16,1301,4604,2577
2027-10-17,9285,9823,2796
2027-10-18,3344,6856,9929
2027-10-19,5016,5873,5617
2027-10-20,9361,7833,9089
2027-10-21,2606,2530,6748
2027-10-22,8134,5189,7699
2027-10-23,6520,900,2183
2027-10-24,4476,2732,2310
2027-10-25,6066,7867,5638
2027-10-26,8510,448,9519
2027-10-27,6455,529,3924
2027-10-28,5430,7426,3990
2027-10-29,1825,8117,8760
2027-10-30,1622,2786,7367
2027-10-31,4212,9239,8447
2027-11-01,3064,9052,873
2027-11-02,5103,9638,2365
2027-11-03,7939,2681,5918
2027-11-04,8867,8055,9858
2027-11-05,6687,9903,2828
2027-11-06,9206,6984,8304
2027-11-07,1243,6311,3374
2027-11-08,6369,9113,3727
2027-11-09,2715,2285,6126
2027-11-10,3994,1188,2026
2027-11-11,5923,998,250
2027-11-12,8023,3269,1426
2027-11-13,9420,1734,9039
2027-11-14,6812,5305,7356
2027-11-15,936,7481,2888
2027-11-16,2665,92,217
2027-11-17,6631,7942,9949
2027-11-18,4160,1428,1930
2027-11-19,165,9373,1218
2027-11-20,2201,3842,8590
2027-11-21,4013,1994,572
2027-11-22,5143,2006,2614
2027-11-23,1930,4768,781
2027-11-24,93,5036,2854
2027-11-25,4997,7316,1995
2027-11-26,7936,7371,9765
2027-11-27,3724,556,3577
2027-11-28,3637,9986,9657
2027-11-29,8007,8284,5119
2027-11-30,1234,6495,49
2027-12-01,1732,7454,3732
2027-12-02,5932,1633,9793
2027-12-03,9273,5547,8112
2027-12-04,8011,8065,917
2027-12-05,2209,1559,3036
2027-12-06,8150,3788,2939
2027-12-07,9444,1811,2068
2027-12-08,5328,5650,6674
2027-12-09,1459,169,7834
